index,subject,relation,object,cat,csv_idx
14996,意式罗勒青酱意面,食谱的功效,清热,食谱的功效,14996
14998,意式罗勒青酱意面,食谱的功效,润燥,食谱的功效,14998
15000,意式罗勒青酱意面,食谱的功效,补益身体,食谱的功效,15000
15002,意式罗勒青酱意面,食谱的功效,增强抗病能力,食谱的功效,15002
15004,意式罗勒青酱意面,食谱的功效,疏肝,食谱的功效,15004
15006,意式罗勒青酱意面,食谱的功效,理气,食谱的功效,15006
15008,意式罗勒青酱意面,食谱的功效,清热,食谱的功效,15008
15010,意式罗勒青酱意面,食谱的功效,除烦,食谱的功效,15010
15012,意式罗勒青酱意面,食谱的功效,补中益气,食谱的功效,15012
15014,意式罗勒青酱意面,食谱的功效,维护皮肤健康,食谱的功效,15014
15016,意式罗勒青酱意面,食谱的功效,清热化湿,食谱的功效,15016
15018,意式罗勒青酱意面,食谱的功效,健脾益气,食谱的功效,15018
15020,意式罗勒青酱意面,食谱的功效,缓解过敏,食谱的功效,15020
15022,意式罗勒青酱意面,食谱的食材构成,意面,A1,15022
15024,意式罗勒青酱意面,食谱的食材构成,罗勒叶,A2,15024
15026,意式罗勒青酱意面,食谱的食材构成,松子,A3,15026
15028,意式罗勒青酱意面,食谱的食材构成,橄榄油,D,15028
15030,意式罗勒青酱意面,食谱的食材构成,蒜瓣,A2,15030
15032,意式罗勒青酱意面,食谱的食材构成,干酪粉,B2,15032
15034,意式罗勒青酱意面,食谱的食材构成,食盐,D,15034
