round,type,content,time
1,question,please recommend some recipe,2025-04-05 02:59:05
1,keyword,健脾,2025-04-05 02:59:05
1,keyword,补肾,2025-04-05 02:59:05
1,keyword,疏肝,2025-04-05 02:59:05
1,keyword,理气,2025-04-05 02:59:05
1,keyword,清热,2025-04-05 02:59:05
1,keyword,滋阴,2025-04-05 02:59:05
1,keyword,活血,2025-04-05 02:59:05
1,keyword,安神,2025-04-05 02:59:05
1,keyword,解郁,2025-04-05 02:59:05
1,keyword,化痰,2025-04-05 02:59:05
1,candidate,藜麦彩椒盅,2025-04-05 02:59:05
1,candidate,法式奶油蘑菇汤,2025-04-05 02:59:05
1,candidate,希腊烤羊排,2025-04-05 02:59:05
1,candidate,迷迭香橄榄面包丁,2025-04-05 02:59:05
1,candidate,墨西哥鸡肉玉米汤,2025-04-05 02:59:05
1,candidate,西班牙土豆蛋饼,2025-04-05 02:59:05
1,candidate,鸡肉牛油果沙拉,2025-04-05 02:59:05
1,candidate,意式罗勒青酱意面,2025-04-05 02:59:05
1,candidate,墨西哥牛油果鸡肉卷,2025-04-05 02:59:05
1,candidate,西班牙海鲜饭,2025-04-05 02:59:05
1,candidate,意式蘑菇烩饭,2025-04-05 02:59:05
1,candidate,墨西哥牛油果沙拉,2025-04-05 02:59:05
1,candidate,法式红酒炖鸡,2025-04-05 02:59:05
1,candidate,烤甜菜根沙拉,2025-04-05 02:59:05
1,candidate,塔布勒沙拉,2025-04-05 02:59:05
1,candidate,地中海烤蔬菜三明治,2025-04-05 02:59:05
1,candidate,希腊酸奶黄瓜沙拉,2025-04-05 02:59:05
1,candidate,巴西烤菠萝,2025-04-05 02:59:05
1,candidate,希腊黄瓜酸奶沙拉,2025-04-05 02:59:05
1,candidate,波兰酸黄瓜汤,2025-04-05 02:59:05
1,candidate,秘鲁酸橘汁腌鱼（Ceviche）,2025-04-05 02:59:05
1,candidate,希腊菠菜派,2025-04-05 02:59:05
1,candidate,法式杂菜烩（Ratatouille）,2025-04-05 02:59:05
1,candidate,烤三文鱼配柠檬,2025-04-05 02:59:05
1,candidate,牛油果鸡蛋吐司,2025-04-05 02:59:05
1,candidate,西班牙海鲜饭（简易版）,2025-04-05 02:59:05
1,candidate,牛油果菠菜奶昔,2025-04-05 02:59:05
1,candidate,意式青酱烤蔬菜,2025-04-05 02:59:05
1,candidate,希腊烤茄子,2025-04-05 02:59:05
1,candidate,法式香煎扇贝,2025-04-05 02:59:05
1,candidate,西班牙烤红椒蘑菇,2025-04-05 02:59:05
1,candidate,烤甜菜根配羊奶酪,2025-04-05 02:59:05
1,candidate,希腊柠檬烤土豆,2025-04-05 02:59:05
1,candidate,法式红酒烩蘑菇,2025-04-05 02:59:05
1,candidate,意式蔬菜汤,2025-04-05 02:59:05
1,candidate,美式牛油果鸡蛋三明治,2025-04-05 02:59:05
1,candidate,摩洛哥鹰嘴豆炖菜,2025-04-05 02:59:05
1,candidate,加拿大枫糖烤三文鱼,2025-04-05 02:59:05
1,candidate,西班牙番茄冷汤Gazpacho,2025-04-05 02:59:05
1,candidate,土耳其烤茄子酱（Baba Ganoush）,2025-04-05 02:59:05
1,candidate,番茄罗勒意面,2025-04-05 02:59:05
1,candidate,德国土豆沙拉,2025-04-05 02:59:05
1,candidate,土耳其酸奶黄瓜汤,2025-04-05 02:59:05
1,candidate,希腊沙拉,2025-04-05 02:59:05
1,candidate,秘鲁酸橘汁腌鱼,2025-04-05 02:59:05
1,candidate,番茄金枪鱼意式烩饭,2025-04-05 02:59:05
1,candidate,希腊柠檬烤鱼,2025-04-05 02:59:05
1,candidate,意式番茄罗勒汤,2025-04-05 02:59:05
1,candidate,红椒牛油果酱配玉米片,2025-04-05 02:59:05
1,candidate,西非富富配花生汤,2025-04-05 02:59:05
